,experiment,num,entropy
235,uniform_biased_RRT_biased_off_center_disconnected_filter,38,-0.37885108591784583
236,uniform_biased_RRT_biased_off_center_disconnected_filter,39,-0.2753152688284622
237,uniform_biased_RRT_biased_off_center_disconnected_filter,4,-0.23236637552757833
238,uniform_biased_RRT_biased_off_center_disconnected_filter,40,inf
239,uniform_biased_RRT_biased_off_center_disconnected_filter,41,inf
240,uniform_biased_RRT_biased_off_center_disconnected_filter,42,-0.30088779637297525
241,uniform_biased_RRT_biased_off_center_disconnected_filter,43,-0.35003669329412174
242,uniform_biased_RRT_biased_off_center_disconnected_filter,44,-0.3654079753453854
243,uniform_biased_RRT_biased_off_center_disconnected_filter,45,-0.36292375083131206
244,uniform_biased_RRT_biased_off_center_disconnected_filter,46,-0.21824724206972582
245,uniform_biased_RRT_biased_off_center_disconnected_filter,47,-0.31575880857361427
246,uniform_biased_RRT_biased_off_center_disconnected_filter,48,-0.37033475220218404
247,uniform_biased_RRT_biased_off_center_disconnected_filter,49,-0.2409287294079484
248,uniform_biased_RRT_biased_off_center_disconnected_filter,5,-0.4082156687574331
249,uniform_biased_RRT_biased_off_center_disconnected_filter,50,-0.2431003637661685
250,uniform_biased_RRT_biased_off_center_disconnected_filter,51,-0.263929275233602
251,uniform_biased_RRT_biased_off_center_disconnected_filter,52,-0.34547788834662213
252,uniform_biased_RRT_biased_off_center_disconnected_filter,53,-0.14958700283896287
253,uniform_biased_RRT_biased_off_center_disconnected_filter,54,-0.41386255895359864
254,uniform_biased_RRT_biased_off_center_disconnected_filter,55,-0.3316489717136779
255,uniform_biased_RRT_biased_off_center_disconnected_filter,56,-0.4590026883692882
256,uniform_biased_RRT_biased_off_center_disconnected_filter,57,-0.29302226871646053
257,uniform_biased_RRT_biased_off_center_disconnected_filter,58,-0.2713829727998393
258,uniform_biased_RRT_biased_off_center_disconnected_filter,59,-0.36511195466453344
259,uniform_biased_RRT_biased_off_center_disconnected_filter,6,-0.27083610686759896
260,uniform_biased_RRT_biased_off_center_disconnected_filter,60,-0.43101636447609276
261,uniform_biased_RRT_biased_off_center_disconnected_filter,61,-0.25369679812774837
262,uniform_biased_RRT_biased_off_center_disconnected_filter,62,-0.23599250671377378
263,uniform_biased_RRT_biased_off_center_disconnected_filter,63,-0.53054449893826
264,uniform_biased_RRT_biased_off_center_disconnected_filter,64,-0.39622634989909616
265,uniform_biased_RRT_biased_off_center_disconnected_filter,65,-0.4188941473598068
266,uniform_biased_RRT_biased_off_center_disconnected_filter,66,inf
267,uniform_biased_RRT_biased_off_center_disconnected_filter,67,inf
268,uniform_biased_RRT_biased_off_center_disconnected_filter,68,inf
269,uniform_biased_RRT_biased_off_center_disconnected_filter,69,-0.28871239594700965
270,uniform_biased_RRT_biased_off_center_disconnected_filter,7,-0.26984649613089307
271,uniform_biased_RRT_biased_off_center_disconnected_filter,70,-0.27556001580787004
272,uniform_biased_RRT_biased_off_center_disconnected_filter,71,-0.28730767003276086
273,uniform_biased_RRT_biased_off_center_disconnected_filter,72,-0.24835161555739016
274,uniform_biased_RRT_biased_off_center_disconnected_filter,73,-0.5471062689776722
275,uniform_biased_RRT_biased_off_center_disconnected_filter,74,-0.37928744984937496
276,uniform_biased_RRT_biased_off_center_disconnected_filter,75,-0.3379163502070422
277,uniform_biased_RRT_biased_off_center_disconnected_filter,76,-0.3443654455172702
278,uniform_biased_RRT_biased_off_center_disconnected_filter,77,-0.24007825464017982
279,uniform_biased_RRT_biased_off_center_disconnected_filter,78,-0.2986299619557473
280,uniform_biased_RRT_biased_off_center_disconnected_filter,79,inf
281,uniform_biased_RRT_biased_off_center_disconnected_filter,8,-0.4344098172155317
282,uniform_biased_RRT_biased_off_center_disconnected_filter,80,-0.2589105793528887
283,uniform_biased_RRT_biased_off_center_disconnected_filter,81,-0.6421756602199741
284,uniform_biased_RRT_biased_off_center_disconnected_filter,82,-0.34339264916478196
285,uniform_biased_RRT_biased_off_center_disconnected_filter,83,-0.14525794246295587
286,uniform_biased_RRT_biased_off_center_disconnected_filter,84,-0.26458771902012473
287,uniform_biased_RRT_biased_off_center_disconnected_filter,85,-0.3226661115263543
288,uniform_biased_RRT_biased_off_center_disconnected_filter,86,-0.31176564090665454
289,uniform_biased_RRT_biased_off_center_disconnected_filter,87,inf
290,uniform_biased_RRT_biased_off_center_disconnected_filter,88,-0.2652836944346052
291,uniform_biased_RRT_biased_off_center_disconnected_filter,89,-0.4285847339103937
292,uniform_biased_RRT_biased_off_center_disconnected_filter,9,-0.47586823038484427
293,uniform_biased_RRT_biased_off_center_disconnected_filter,90,-0.3672446614205632
294,uniform_biased_RRT_biased_off_center_disconnected_filter,91,-0.4255761467945215
295,uniform_biased_RRT_biased_off_center_disconnected_filter,92,-0.29620226534209054
296,uniform_biased_RRT_biased_off_center_disconnected_filter,93,-0.3312890810060981
297,uniform_biased_RRT_biased_off_center_disconnected_filter,94,-0.39037426891028243
298,uniform_biased_RRT_biased_off_center_disconnected_filter,95,-0.21874269220359985
299,uniform_biased_RRT_biased_off_center_disconnected_filter,96,-0.30389691996642343
300,uniform_biased_RRT_biased_off_center_disconnected_filter,97,-0.23970320093285405
301,uniform_biased_RRT_biased_off_center_disconnected_filter,98,-0.23520585881607892
302,uniform_biased_RRT_biased_off_center_disconnected_filter,99,-0.2588506767126493
303,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,-1,-0.5645284836207206
304,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,0,-0.4586165322292036
305,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,1,-0.41007625382150364
306,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,10,-0.6550203480746016
307,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,11,-0.5418053840692706
308,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,12,-0.548295609939678
309,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,13,-0.4268961649032613
310,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,14,-0.6081542837260578
311,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,15,-0.627918017144473
312,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,16,-0.3627685485851608
313,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,17,-0.7639771182407735
314,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,18,-0.49840029349080767
315,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,19,-0.645192207971488
316,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,2,-0.4562136087088318
317,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,20,-0.6004633224443374
318,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,21,-0.7254646596794946
319,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,22,-0.5387859270976212
320,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,23,-0.4725091213317113
321,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,24,-0.4363357378213652
322,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,25,-0.49627428447423033
323,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,26,-0.5508029407826874
324,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,27,-0.45068452208198323
325,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,28,-0.5265566227780293
326,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,29,-0.48412146277602414
327,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,3,-0.3857937027002916
328,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,30,-0.5898371622910618
329,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,31,-0.7191726022356878
330,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,32,-0.45904137823580954
331,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,33,-0.6159286664583064
332,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,34,-0.5964614604719378
333,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,35,-0.5177260344923775
334,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,36,-0.42086983141102585
335,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,37,-0.6614757376617184
336,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,38,-0.4958088545590771
337,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,39,-0.47372460038045244
338,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,4,-0.45755793715527515
339,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,40,-0.5281769446766489
340,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,41,-0.4182925530165424
341,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,42,-0.7011153995942205
342,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,43,-0.5121488708848966
343,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,44,-0.45142742112384016
344,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,45,-0.449079750516239
345,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,46,-0.8904358462309985
346,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,47,-0.45759162365080197
347,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,48,-0.6356496235747638
348,uniform_biased_RRT_biased_off_center_disconnected_filter_ch,49,-0.5635625432824739
